0,0 0
1,0 23
2,0 30
3,0 46
4,0 65
5,0 88
6,0 106
7,0 128
8,0 146
9,0 152
10,0 168
11,0 193
12,0 219
13,0 240
14,0 252
15,0 278
16,0 305
17,0 330
18,0 355
19,0 376
20,0 397
21,0 405
22,0 426
23,0 450
24,0 474
25,0 485
26,0 507
27,0 527
28,0 552
29,0 579
30,0 606
31,0 633
32,0 642
33,0 649
34,0 671
35,0 699
36,0 724
37,0 749
38,0 769
39,0 791
40,0 816
41,0 833
42,0 855
43,0 880
44,0 890
45,0 907
46,0 933
47,0 953
48,0 973
49,0 995
50,0 1017
51,0 1042
52,0 1067
53,0 1086
54,0 1109
55,0 1125
56,0 1133
57,0 1157
58,0 1181
59,0 1202
60,0 1224
61,0 1229
