0,0 0
1,0 15
2,0 23
3,0 31
4,0 38
5,0 46
6,0 54
7,0 62
8,0 71
9,0 82
10,0 86
11,0 95
12,0 104
13,0 113
14,0 123
15,0 131
16,0 140
17,0 149
18,0 157
19,0 165
20,0 173
21,0 174
22,0 182
23,0 190
24,0 197
25,0 205
26,0 213
27,0 217
28,0 226
29,0 234
30,0 242
31,0 251
32,0 254
33,0 262
34,0 269
35,0 277
36,0 283
37,0 290
38,0 298
39,0 304
40,0 311
41,0 319
42,0 326
43,0 328
44,0 334
45,0 342
46,0 349
47,0 357
48,0 364
49,0 372
50,0 379
51,0 386
52,0 394
53,0 401
54,0 405
55,0 412
56,0 420
57,0 426
58,0 434
59,0 441
60,0 447
61,0 448
