0,0 0
1,0 13
2,0 20
3,0 22
4,0 27
5,0 34
6,0 40
7,0 47
8,0 54
9,0 61
10,0 67
11,0 73
12,0 81
13,0 87
14,0 92
15,0 96
16,0 102
17,0 109
18,0 116
19,0 120
20,0 127
21,0 133
22,0 139
23,0 145
24,0 153
25,0 161
26,0 164
27,0 167
28,0 173
29,0 178
30,0 181
31,0 184
32,0 191
33,0 197
34,0 204
35,0 210
36,0 217
37,0 221
38,0 225
39,0 233
40,0 241
41,0 248
42,0 255
43,0 261
44,0 268
45,0 274
46,0 279
47,0 284
48,0 290
49,0 293
50,0 299
51,0 305
52,0 310
53,0 315
54,0 320
55,0 324
56,0 332
57,0 337
58,0 342
59,0 348
60,0 349
61,0 350
