0,0 0
1,0 5
2,0 6
3,0 9
4,0 13
5,0 18
6,0 22
7,0 26
8,0 30
9,0 31
10,0 34
11,0 39
12,0 44
13,0 48
14,0 51
15,0 56
16,0 62
17,0 66
18,0 72
19,0 76
20,0 81
21,0 82
22,0 86
23,0 91
24,0 96
25,0 98
26,0 102
27,0 106
28,0 111
29,0 116
30,0 122
31,0 127
32,0 129
33,0 131
34,0 135
35,0 141
36,0 146
37,0 151
38,0 155
39,0 159
40,0 164
41,0 167
42,0 171
43,0 176
44,0 178
45,0 181
46,0 187
47,0 191
48,0 195
49,0 199
50,0 203
51,0 208
52,0 214
53,0 218
54,0 223
55,0 227
56,0 228
57,0 234
58,0 238
59,0 242
60,0 247
61,0 248
