0,0 0
1,0 7
2,0 11
3,0 12
4,0 15
5,0 19
6,0 23
7,0 27
8,0 31
9,0 35
10,0 38
11,0 42
12,0 46
13,0 49
14,0 52
15,0 55
16,0 57
17,0 61
18,0 65
19,0 68
20,0 72
21,0 76
22,0 80
23,0 84
24,0 87
25,0 90
26,0 92
27,0 96
28,0 100
29,0 104
30,0 107
31,0 111
32,0 115
33,0 119
34,0 122
35,0 126
36,0 129
37,0 132
38,0 136
39,0 140
40,0 143
41,0 147
42,0 151
43,0 155
44,0 159
45,0 163
46,0 167
47,0 170
48,0 172
49,0 175
50,0 179
51,0 182
52,0 185
53,0 189
54,0 193
55,0 197
56,0 200
57,0 203
58,0 207
59,0 209
60,0 212
61,0 213
