0,0 0
1,0 7
2,0 11
3,0 15
4,0 18
5,0 21
6,0 25
7,0 29
8,0 32
9,0 35
10,0 37
11,0 41
12,0 45
13,0 49
14,0 52
15,0 56
16,0 60
17,0 64
18,0 67
19,0 70
20,0 73
21,0 75
22,0 78
23,0 82
24,0 86
25,0 89
26,0 93
27,0 96
28,0 100
29,0 103
30,0 107
31,0 110
32,0 111
33,0 115
34,0 118
35,0 122
36,0 125
37,0 129
38,0 133
39,0 136
40,0 139
41,0 143
42,0 146
43,0 149
44,0 152
45,0 156
46,0 159
47,0 162
48,0 167
49,0 171
50,0 175
51,0 178
52,0 182
53,0 186
54,0 188
55,0 192
56,0 195
57,0 198
58,0 202
59,0 205
60,0 209
61,0 210
